"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","823","test_success_save","tests","Fri May 15 13:09:49 UTC 2026","passed","Fri May 15 13:09:50 UTC 2026","TestUI","test_ui","",""
"","2","test_empty_field[newlines]","tests","Fri May 15 13:09:38 UTC 2026","passed","Fri May 15 13:09:38 UTC 2026","TestApi","test_api","",""
"","5012","test_slow_db","tests","Fri May 15 13:09:33 UTC 2026","passed","Fri May 15 13:09:38 UTC 2026","TestApi","test_api","",""
"","87","test_external_zip_api[Уфа]","tests","Fri May 15 13:09:33 UTC 2026","passed","Fri May 15 13:09:33 UTC 2026","TestApi","test_api","",""
"","28881","test_slow_db_response","tests","Fri May 15 13:09:52 UTC 2026","passed","Fri May 15 13:10:21 UTC 2026","TestUI","test_ui","",""
"Технический тест для проверки эндпоинта самоочистки БД","16","test_verify_clean_db_logic","tests","Fri May 15 13:09:38 UTC 2026","passed","Fri May 15 13:09:38 UTC 2026","TestApi","test_api","",""
"","779","test_ghost_button","tests","Fri May 15 13:10:21 UTC 2026","passed","Fri May 15 13:10:22 UTC 2026","TestUI","test_ui","",""
"","10","test_duplicate","tests","Fri May 15 13:09:33 UTC 2026","passed","Fri May 15 13:09:33 UTC 2026","TestApi","test_api","",""
"","2","test_empty_field[empty_strings]","tests","Fri May 15 13:09:38 UTC 2026","passed","Fri May 15 13:09:38 UTC 2026","TestApi","test_api","",""
"","858","test_duplicate","tests","Fri May 15 13:09:51 UTC 2026","passed","Fri May 15 13:09:51 UTC 2026","TestUI","test_ui","",""
"","95","test_external_zip_api[Мурманск]","tests","Fri May 15 13:09:33 UTC 2026","passed","Fri May 15 13:09:33 UTC 2026","TestApi","test_api","",""
"","2","test_empty_field[spaces]","tests","Fri May 15 13:09:38 UTC 2026","passed","Fri May 15 13:09:38 UTC 2026","TestApi","test_api","",""
"","1089","test_city_field","tests","Fri May 15 13:09:48 UTC 2026","passed","Fri May 15 13:09:49 UTC 2026","TestUI","test_ui","",""
"","104","test_external_zip_api[Москва]","tests","Fri May 15 13:09:32 UTC 2026","passed","Fri May 15 13:09:33 UTC 2026","TestApi","test_api","",""
"","40","test_external_zip_api[Beverly Hills]","tests","Fri May 15 13:09:33 UTC 2026","passed","Fri May 15 13:09:33 UTC 2026","TestApi","test_api","",""
"","5","test_data_loss","tests","Fri May 15 13:09:33 UTC 2026","passed","Fri May 15 13:09:33 UTC 2026","TestApi","test_api","",""
"","40","test_incorrect_zip","tests","Fri May 15 13:09:38 UTC 2026","passed","Fri May 15 13:09:38 UTC 2026","TestApi","test_api","",""
"","10","test_success_save","tests","Fri May 15 13:09:33 UTC 2026","passed","Fri May 15 13:09:33 UTC 2026","TestApi","test_api","",""
